PERIODO;MES;CODIGO_ESTABLECIMIENTO;ESTABLECIMIENTO;AREA_FUNCIONAL;INDICE_OCUPACIONAL_PREDICHO;VALOR_REAL
2026;9;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Medios;94.13;
2026;10;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Medios;94.6;
2026;11;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Medios;93.76;
2026;12;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Adulto Cuidados Medios;93.35;
2026;1;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Pediátrica Cuidados Básicos;32.51;40.04
2026;2;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Pediátrica Cuidados Básicos;37.46;37.5
2026;3;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Pediátrica Cuidados Básicos;41.12;47.5
2026;4;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Pediátrica Cuidados Básicos;46.44;43.58
2026;5;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Pediátrica Cuidados Básicos;46.97;58.27
2026;6;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Médica Pediátrica Cuidados Básicos;61.03;
